Paddle Name,Brand,Price,Discount Code,Link to Paddle,Year Released,Approval Body,Shape,Face Material,Grit Type,Build Type,Paddle Type,Core Thickness (mm),Grip Length (in),Grip Size (in),Weight (oz),Swingweight,Swingweight Percentile,Twistweight,Twistweight Percentile,Balance Point (mm),Spin Rating,Spin (RPM),Power (MPH),Power Percentile,Pop (MPH),Pop Percentile
TruFoam Genesis 3,CRBN,$279.99,PBEFFECT,https://a8qh.short.gy/TFG3,2025,USAP/UPA-A,Elongated,Carbon,Raw Texture/Peel Ply,Gen 4,All-Court,14,5.25,4.13,8.30,122,88%,6.30,46%,243,Very High,2030,55.9,56%,36.4,66%
TruFoam Genesis 4,CRBN,$279.99,PBEFFECT,https://a8qh.short.gy/TFG4,2025,USAP/UPA-A,Hybrid,Carbon,Raw Texture/Peel Ply,Gen 4,All-Court,14,5.50,4.25,8.00,109,13%,6.30,46%,232,Very High,2040,55.8,52%,36.2,55%
TruFoam Waves 1,CRBN,$279.99,PBEFFECT,https://a8qh.short.gy/TFW1,2025,USAP/UPA-A,Elongated,Carbon,Raw Texture/Peel Ply,Gen 4,All-Court,14,5.60,4.25,7.90,119,77%,5.93,22%,245,High,1995,56.5,80%,36.2,55%
TruFoam Waves 2,CRBN,$279.99,PBEFFECT,https://a8qh.short.gy/TFW2,2025,USAP/UPA-A,Widebody,Carbon,Raw Texture/Peel Ply,Gen 4,All-Court,14,5.50,4.25,8.12,112,29%,7.02,87%,235,Very High,2021,56.2,69%,36.6,75%
TruFoam Waves 3,CRBN,$279.99,PBEFFECT,https://a8qh.short.gy/TFW3,2025,USAP/UPA-A,Elongated,Carbon,Raw Texture/Peel Ply,Gen 4,All-Court,14,5.30,4.25,8.18,119,77%,6.61,68%,240,High,1988,56.4,76%,36.4,66%
TruFoam Waves 4,CRBN,$279.99,PBEFFECT,https://a8qh.short.gy/TFW4,2025,USAP/UPA-A,Hybrid,Carbon,Raw Texture/Peel Ply,Gen 4,All-Court,14,5.50,4.25,8.00,112,29%,6.68,72%,237,Very High,2056,56.0,61%,36.5,71%
BluCore Max 19mm,Diadem,$280.00,PBEFFECT,https://a8qh.short.gy/BCM19,2025,USAP,Widebody,Kevlar/Carbon,Raw Texture/Peel Ply,Gen 4,Control,19,5.00,4.25,8.40,108,10%,7.45,98%,228,Medium,1926,54.9,24%,36.2,55%
BluCore Pro 16mm,Diadem,$280.00,PBEFFECT,https://a8qh.short.gy/BCP16,2025,USAP,Elongated,Kevlar/Carbon,Raw Texture/Peel Ply,Gen 4,Control,16,5.50,4.25,8.10,112,29%,5.81,14%,234,High,1936,53.4,9%,35.0,13%
BluCore Standard 14mm,Diadem,$280.00,PBEFFECT,https://a8qh.short.gy/BCS14,2025,USAP,Elongated,Kevlar/Carbon,Raw Texture/Peel Ply,Gen 4,Control,14,5.25,4.25,7.80,107,7%,5.58,6%,232,High,1935,53.4,9%,36.0,44%
Edge 18k,Diadem,$229.95,PBEFFECT,https://a8qh.short.gy/18k,2023,USAP,Elongated,Carbon,Raw Texture/Peel Ply,Gen 1,Control,16,5.00,4.13,7.80,117,63%,6.21,39%,244,,,,,,
Edge 18k Power Max,Diadem,$239.95,PBEFFECT,https://a8qh.short.gy/18PM,2024,USAP,Widebody,Carbon,Raw Texture/Peel Ply,Gen 2,Control,16,5.00,4.13,8.16,109,13%,7.87,100%,232,,,,,,
Edge 18k Speed Pro,Diadem,$239.95,PBEFFECT,https://a8qh.short.gy/18SP,2024,USAP,Elongated,Carbon,Raw Texture/Peel Ply,Gen 2,All-Court,14,5.70,4.13,8.03,124,94%,6.31,48%,249,,,,,,
Edge Blucore Hybrid 14,Diadem,$249.95,PBEFFECT,https://a8qh.short.gy/ebc-h14,2025,USAP,Hybrid,Carbon,Raw Texture/Peel Ply,Gen 4,All-Court,14,5.70,4.13,8.00,110,18%,6.40,53%,232,Very High,2081,56.1,65%,36.5,71%
Edge Blucore Hybrid 16,Diadem,$249.95,PBEFFECT,https://a8qh.short.gy/ebc-h16,2025,USAP,Hybrid,Carbon,Raw Texture/Peel Ply,Gen 4,All-Court,16,5.70,4.13,8.14,115,49%,6.75,76%,236,Very High,2112,56.3,72%,36.1,50%
Edge Blucore Pro 14,Diadem,$249.95,PBEFFECT,https://a8qh.short.gy/ebc-p14,2025,USAP,Elongated,Carbon,Raw Texture/Peel Ply,Gen 4,All-Court,14,5.70,4.13,7.90,117,63%,6.10,30%,241,,,,,,
Edge Blucore Pro 16,Diadem,$249.95,PBEFFECT,https://a8qh.short.gy/ebc-p16,2025,USAP,Elongated,Carbon,Raw Texture/Peel Ply,Gen 4,All-Court,16,5.70,4.13,8.12,122,88%,6.65,70%,243,,,,,,
