Company,Paddle,Core Thickness (mm),Condition,Price,Shape,Manufacturing Process,Surface Texture,Surface Material,Core Material,Spin RPM,Spin Percentile,Length (in),Width (in),Handle Length (in),Static Weight (oz),Swing Weight,Swing Weight Percentile,Twist Weight,Twist Weight Percentile,Balance Point (cm),Balance Point Percentile,Serve Speed-MPH (Power),Power Percentile,Punch Volley Speed-MPH (Pop),Pop Percentile,Surface Hardness (Shore D)
Vatic Pro,V7,16,New,$139.99,Elongated,Thermoformed,Peel Ply-Coarse,Toray Carbon Fiber,Polypropylene Honeycomb,"1,981",52%,16.5,7.5,5.30,8.2,124,88%,6.68,73%,23.2,19%,53.2,30%,33.4,14%,89.0
Volair,Alto,16,New,$99.99,Elongated,Cold Layered,Grit,Fiberglass,Polypropylene Honeycomb,"1,737",21%,16.5,7.5,5.50,8.2,120,72%,6.20,48%,24.4,76%,53.8,38%,34.1,34%,90.2
Volair,Alto,14,New,$99.99,Elongated,Cold Layered,Grit,Fiberglass,Polypropylene Honeycomb,"1,798",26%,16.5,7.5,5.50,7.7,110,32%,5.75,23%,24.0,55%,53.4,33%,34.6,55%,90.2
Volair,Corto,16,New,$99.99,Wide Body,Cold Layered,Grit,Fiberglass,Polypropylene Honeycomb,"1,984",52%,15.9,8.1,5.50,8.1,110,31%,7.10,93%,23.8,41%,53.8,38%,33.6,22%,90.5
Volair,Corto,14,New,$99.99,Wide Body,Cold Layered,Grit,Fiberglass,Polypropylene Honeycomb,"1,892",41%,15.9,8.1,5.50,7.8,103,9%,6.85,86%,23.4,27%,53.2,30%,34.9,67%,90.3
Volair,Mach 1,14,New,$139.99,Elongated,Cold Layered,Peel Ply-Coarse,T700 Carbon Fiber,Polypropylene Honeycomb,"2,123",73%,16.5,7.5,5.50,8.0,114,44%,5.92,31%,24.2,66%,53.3,32%,34.1,34%,89.7
Volair,Mach 1,16,New,$139.99,Elongated,Cold Layered,Peel Ply-Coarse,T700 Carbon Fiber,Polypropylene Honeycomb,"2,002",54%,16.5,7.5,5.50,7.7,110,28%,5.72,20%,24.0,55%,52.8,21%,33.8,26%,89.2
Volair,Mach 1 Forza,16,New,$179.99,Elongated,Thermoformed,Peel Ply-Coarse,T700 Carbon Fiber,Polypropylene Honeycomb,"2,205",86%,16.5,7.5,5.50,8.0,115,49%,6.40,59%,24.1,61%,54.6,55%,35.0,72%,88.5
Volair,Mach 1 Forza,14,New,$179.99,Elongated,Thermoformed,Peel Ply-Coarse,T700 Carbon Fiber,Polypropylene Honeycomb,"2,332",99%,16.5,7.5,5.50,7.8,111,33%,6.16,44%,23.9,49%,52.8,21%,35.0,72%,88.8
Volair,Mach 2,16,New,$139.99,Wide Body,Cold Layered,Peel Ply-Coarse,T700 Carbon Fiber,Polypropylene Honeycomb,"2,329",97%,15.9,8.1,5.50,8.0,107,24%,6.90,87%,23.4,27%,52.5,13%,33.2,13%,93.5
Volair,Mach 2,14,New,$139.99,Wide Body,Cold Layered,Peel Ply-Coarse,T700 Carbon Fiber,Polypropylene Honeycomb,"2,345",100%,15.9,8.1,5.50,7.8,105,13%,6.75,77%,23.3,23%,52.3,11%,34.0,32%,93.2
Volair ,Mach 2 Forza,16,New,$179.99,Wide Body,Thermoformed,Peel Ply-Coarse,T700 Carbon Fiber,Polypropylene Honeycomb,"2,330",98%,15.9,8.1,5.50,8.1,113,42%,7.30,98%,23.8,41%,54.7,58%,34.0,32%,91.7
Volair ,Mach 2 Forza,14,New,$179.99,Wide Body,Thermoformed,Peel Ply-Coarse,T700 Carbon Fiber,Polypropylene Honeycomb,"2,236",89%,15.9,8.1,5.50,7.8,108,24%,6.80,80%,23.7,34%,54.0,42%,35.3,84%,90.8
